fathmm	lrt	mutass	muttaster	provean	pph2_hdiv	pph2_hvar	sift	predict	benign	pathogenic
D	D	H	A	D	B	B	D	P	0.13	0.87
D	D	H	A	D	B	B	T	P	0.32	0.68
D	D	H	A	D	B	D	D	P	0.067	0.933
D	D	H	A	D	B	D	T	P	0.212	0.788
D	D	H	A	D	B	P	D	P	0.082	0.918
D	D	H	A	D	B	P	T	P	0.221	0.779
D	D	H	A	D	D	B	D	P	0.079	0.921
D	D	H	A	D	D	B	T	P	0.203	0.797
D	D	H	A	D	D	D	D	P	0.009	0.991
D	D	H	A	D	D	D	T	P	0.097	0.903
D	D	H	A	D	D	P	D	P	0.035	0.965
D	D	H	A	D	D	P	T	P	0.124	0.876
D	D	H	A	D	P	B	D	P	0.088	0.912
D	D	H	A	D	P	B	T	P	0.272	0.728
D	D	H	A	D	P	D	D	P	0.028	0.972
D	D	H	A	D	P	D	T	P	0.169	0.831
D	D	H	A	D	P	P	D	P	0.042	0.958
D	D	H	A	D	P	P	T	P	0.176	0.824
D	D	H	A	N	B	B	D	P	0.329	0.671
D	D	H	A	N	B	B	T	P	0.428	0.572
D	D	H	A	N	B	D	D	P	0.214	0.786
D	D	H	A	N	B	D	T	P	0.312	0.688
D	D	H	A	N	B	P	D	P	0.212	0.788
D	D	H	A	N	B	P	T	P	0.326	0.674
D	D	H	A	N	D	B	D	P	0.281	0.719
D	D	H	A	N	D	B	T	P	0.384	0.616
D	D	H	A	N	D	D	D	P	0.101	0.899
D	D	H	A	N	D	D	T	P	0.205	0.795
D	D	H	A	N	D	P	D	P	0.167	0.833
D	D	H	A	N	D	P	T	P	0.251	0.749
D	D	H	A	N	P	B	D	P	0.251	0.749
D	D	H	A	N	P	B	T	P	0.378	0.622
D	D	H	A	N	P	D	D	P	0.148	0.852
D	D	H	A	N	P	D	T	P	0.282	0.718
D	D	H	A	N	P	P	D	P	0.178	0.822
D	D	H	A	N	P	P	T	P	0.301	0.699
D	D	H	D	D	B	B	D	P	0.243	0.757
D	D	H	D	D	B	B	T	B	0.635	0.365
D	D	H	D	D	B	D	D	P	0.098	0.902
D	D	H	D	D	B	D	T	P	0.393	0.607
D	D	H	D	D	B	P	D	P	0.125	0.875
D	D	H	D	D	B	P	T	P	0.434	0.566
D	D	H	D	D	D	B	D	P	0.146	0.854
D	D	H	D	D	D	B	T	P	0.395	0.605
D	D	H	D	D	D	D	D	P	0.016	0.984
D	D	H	D	D	D	D	T	P	0.186	0.814
D	D	H	D	D	D	P	D	P	0.07	0.93
D	D	H	D	D	D	P	T	P	0.275	0.725
D	D	H	D	D	P	B	D	P	0.181	0.819
D	D	H	D	D	P	B	T	B	0.518	0.482
D	D	H	D	D	P	D	D	P	0.053	0.947
D	D	H	D	D	P	D	T	P	0.291	0.709
D	D	H	D	D	P	P	D	P	0.098	0.902
D	D	H	D	D	P	P	T	P	0.336	0.664
D	D	H	D	N	B	B	D	B	0.592	0.408
D	D	H	D	N	B	B	T	B	0.786	0.214
D	D	H	D	N	B	D	D	P	0.357	0.643
D	D	H	D	N	B	D	T	B	0.57	0.43
D	D	H	D	N	B	P	D	P	0.383	0.617
D	D	H	D	N	B	P	T	B	0.589	0.411
D	D	H	D	N	D	B	D	P	0.458	0.542
D	D	H	D	N	D	B	T	B	0.621	0.379
D	D	H	D	N	D	D	D	P	0.211	0.789
D	D	H	D	N	D	D	T	P	0.415	0.585
D	D	H	D	N	D	P	D	P	0.346	0.654
D	D	H	D	N	D	P	T	P	0.492	0.508
D	D	H	D	N	P	B	D	B	0.522	0.478
D	D	H	D	N	P	B	T	B	0.736	0.264
D	D	H	D	N	P	D	D	P	0.322	0.678
D	D	H	D	N	P	D	T	B	0.527	0.473
D	D	H	D	N	P	P	D	P	0.382	0.618
D	D	H	D	N	P	P	T	B	0.578	0.422
D	D	H	N	D	B	B	D	B	0.536	0.464
D	D	H	N	D	B	B	T	B	0.755	0.245
D	D	H	N	D	B	D	D	P	0.311	0.689
D	D	H	N	D	B	D	T	B	0.525	0.475
D	D	H	N	D	B	P	D	P	0.419	0.581
D	D	H	N	D	B	P	T	B	0.599	0.401
D	D	H	N	D	D	B	D	P	0.391	0.609
D	D	H	N	D	D	B	T	B	0.52	0.48
D	D	H	N	D	D	D	D	P	0.18	0.82
D	D	H	N	D	D	D	T	P	0.322	0.678
D	D	H	N	D	D	P	D	P	0.374	0.626
D	D	H	N	D	D	P	T	P	0.47	0.53
D	D	H	N	D	P	B	D	P	0.411	0.589
D	D	H	N	D	P	B	T	B	0.639	0.361
D	D	H	N	D	P	D	D	P	0.224	0.776
D	D	H	N	D	P	D	T	P	0.439	0.561
D	D	H	N	D	P	P	D	P	0.315	0.685
D	D	H	N	D	P	P	T	B	0.52	0.48
D	D	H	N	N	B	B	D	B	0.702	0.298
D	D	H	N	N	B	B	T	B	0.829	0.171
D	D	H	N	N	B	D	D	P	0.497	0.503
D	D	H	N	N	B	D	T	B	0.652	0.348
D	D	H	N	N	B	P	D	B	0.578	0.422
D	D	H	N	N	B	P	T	B	0.677	0.323
D	D	H	N	N	D	B	D	B	0.614	0.386
D	D	H	N	N	D	B	T	B	0.738	0.262
D	D	H	N	N	D	D	D	P	0.392	0.608
D	D	H	N	N	D	D	T	B	0.544	0.456
D	D	H	N	N	D	P	D	B	0.563	0.437
D	D	H	N	N	D	P	T	B	0.643	0.357
D	D	H	N	N	P	B	D	B	0.608	0.392
D	D	H	N	N	P	B	T	B	0.772	0.228
D	D	H	N	N	P	D	D	P	0.439	0.561
D	D	H	N	N	P	D	T	B	0.619	0.381
D	D	H	N	N	P	P	D	B	0.566	0.434
D	D	H	N	N	P	P	T	B	0.683	0.317
D	D	H	P	D	B	B	D	B	0.506	0.494
D	D	H	P	D	B	B	T	B	0.714	0.286
D	D	H	P	D	B	D	D	P	0.402	0.598
D	D	H	P	D	B	D	T	B	0.559	0.441
D	D	H	P	D	B	P	D	P	0.426	0.574
D	D	H	P	D	B	P	T	B	0.583	0.417
D	D	H	P	D	D	B	D	P	0.423	0.577
D	D	H	P	D	D	B	T	B	0.555	0.445
D	D	H	P	D	D	D	D	P	0.351	0.649
D	D	H	P	D	D	D	T	P	0.43	0.57
D	D	H	P	D	D	P	D	P	0.397	0.603
D	D	H	P	D	D	P	T	P	0.496	0.504
D	D	H	P	D	P	B	D	P	0.456	0.544
D	D	H	P	D	P	B	T	B	0.639	0.361
D	D	H	P	D	P	D	D	P	0.363	0.637
D	D	H	P	D	P	D	T	P	0.49	0.51
D	D	H	P	D	P	P	D	P	0.409	0.591
D	D	H	P	D	P	P	T	B	0.523	0.477
D	D	H	P	N	B	B	D	B	0.692	0.308
D	D	H	P	N	B	B	T	B	0.822	0.178
D	D	H	P	N	B	D	D	B	0.534	0.466
D	D	H	P	N	B	D	T	B	0.674	0.326
D	D	H	P	N	B	P	D	B	0.556	0.444
D	D	H	P	N	B	P	T	B	0.676	0.324
D	D	H	P	N	D	B	D	B	0.6	0.4
D	D	H	P	N	D	B	T	B	0.719	0.281
D	D	H	P	N	D	D	D	P	0.445	0.555
D	D	H	P	N	D	D	T	B	0.579	0.421
D	D	H	P	N	D	P	D	B	0.531	0.469
D	D	H	P	N	D	P	T	B	0.625	0.375
D	D	H	P	N	P	B	D	B	0.635	0.365
D	D	H	P	N	P	B	T	B	0.766	0.234
D	D	H	P	N	P	D	D	P	0.488	0.512
D	D	H	P	N	P	D	T	B	0.635	0.365
D	D	H	P	N	P	P	D	B	0.553	0.447
D	D	H	P	N	P	P	T	B	0.676	0.324
D	D	M	A	D	B	B	D	P	0.202	0.798
D	D	M	A	D	B	B	T	P	0.335	0.665
D	D	M	A	D	B	D	D	P	0.108	0.892
D	D	M	A	D	B	D	T	P	0.231	0.769
D	D	M	A	D	B	P	D	P	0.137	0.863
D	D	M	A	D	B	P	T	P	0.245	0.755
D	D	M	A	D	D	B	D	P	0.107	0.893
D	D	M	A	D	D	B	T	P	0.229	0.771
D	D	M	A	D	D	D	D	P	0.017	0.983
D	D	M	A	D	D	D	T	P	0.11	0.89
D	D	M	A	D	D	P	D	P	0.046	0.954
D	D	M	A	D	D	P	T	P	0.136	0.864
D	D	M	A	D	P	B	D	P	0.141	0.859
D	D	M	A	D	P	B	T	P	0.313	0.687
D	D	M	A	D	P	D	D	P	0.053	0.947
D	D	M	A	D	P	D	T	P	0.186	0.814
D	D	M	A	D	P	P	D	P	0.058	0.942
D	D	M	A	D	P	P	T	P	0.194	0.806
D	D	M	A	N	B	B	D	P	0.438	0.562
D	D	M	A	N	B	B	T	B	0.504	0.496
D	D	M	A	N	B	D	D	P	0.291	0.709
D	D	M	A	N	B	D	T	P	0.369	0.631
D	D	M	A	N	B	P	D	P	0.309	0.691
D	D	M	A	N	B	P	T	P	0.403	0.597
D	D	M	A	N	D	B	D	P	0.369	0.631
D	D	M	A	N	D	B	T	P	0.462	0.538
D	D	M	A	N	D	D	D	P	0.17	0.83
D	D	M	A	N	D	D	T	P	0.257	0.743
D	D	M	A	N	D	P	D	P	0.24	0.76
D	D	M	A	N	D	P	T	P	0.327	0.673
D	D	M	A	N	P	B	D	P	0.35	0.65
D	D	M	A	N	P	B	T	P	0.449	0.551
D	D	M	A	N	P	D	D	P	0.219	0.781
D	D	M	A	N	P	D	T	P	0.327	0.673
D	D	M	A	N	P	P	D	P	0.261	0.739
D	D	M	A	N	P	P	T	P	0.365	0.635
D	D	M	D	D	B	B	D	P	0.397	0.603
D	D	M	D	D	B	B	T	B	0.689	0.311
D	D	M	D	D	B	D	D	P	0.159	0.841
D	D	M	D	D	B	D	T	P	0.445	0.555
D	D	M	D	D	B	P	D	P	0.172	0.828
D	D	M	D	D	B	P	T	P	0.469	0.531
D	D	M	D	D	D	B	D	P	0.218	0.782
D	D	M	D	D	D	B	T	P	0.46	0.54
D	D	M	D	D	D	D	D	P	0.026	0.974
D	D	M	D	D	D	D	T	P	0.238	0.762
D	D	M	D	D	D	P	D	P	0.084	0.916
D	D	M	D	D	D	P	T	P	0.301	0.699
D	D	M	D	D	P	B	D	P	0.277	0.723
D	D	M	D	D	P	B	T	B	0.583	0.417
D	D	M	D	D	P	D	D	P	0.092	0.908
D	D	M	D	D	P	D	T	P	0.354	0.646
D	D	M	D	D	P	P	D	P	0.118	0.882
D	D	M	D	D	P	P	T	P	0.388	0.612
D	D	M	D	N	B	B	D	B	0.81	0.19
D	D	M	D	N	B	B	T	B	0.961	0.039
D	D	M	D	N	B	D	D	B	0.51	0.49
D	D	M	D	N	B	D	T	B	0.717	0.283
D	D	M	D	N	B	P	D	B	0.511	0.489
D	D	M	D	N	B	P	T	B	0.737	0.263
D	D	M	D	N	D	B	D	B	0.663	0.337
D	D	M	D	N	D	B	T	B	0.822	0.178
D	D	M	D	N	D	D	D	P	0.362	0.638
D	D	M	D	N	D	D	T	B	0.577	0.423
D	D	M	D	N	D	P	D	P	0.479	0.521
D	D	M	D	N	D	P	T	B	0.679	0.321
D	D	M	D	N	P	B	D	B	0.709	0.291
D	D	M	D	N	P	B	T	B	0.892	0.108
D	D	M	D	N	P	D	D	P	0.481	0.519
D	D	M	D	N	P	D	T	B	0.664	0.336
D	D	M	D	N	P	P	D	B	0.508	0.492
D	D	M	D	N	P	P	T	B	0.697	0.303
D	D	M	N	D	B	B	D	B	0.648	0.352
D	D	M	N	D	B	B	T	B	0.81	0.19
D	D	M	N	D	B	D	D	P	0.399	0.601
D	D	M	N	D	B	D	T	B	0.615	0.385
D	D	M	N	D	B	P	D	P	0.483	0.517
D	D	M	N	D	B	P	T	B	0.657	0.343
D	D	M	N	D	D	B	D	P	0.486	0.514
D	D	M	N	D	D	B	T	B	0.604	0.396
D	D	M	N	D	D	D	D	P	0.28	0.72
D	D	M	N	D	D	D	T	P	0.446	0.554
D	D	M	N	D	D	P	D	P	0.448	0.552
D	D	M	N	D	D	P	T	B	0.556	0.444
D	D	M	N	D	P	B	D	B	0.573	0.427
D	D	M	N	D	P	B	T	B	0.763	0.237
D	D	M	N	D	P	D	D	P	0.339	0.661
D	D	M	N	D	P	D	T	B	0.566	0.434
D	D	M	N	D	P	P	D	P	0.391	0.609
D	D	M	N	D	P	P	T	B	0.625	0.375
D	D	M	N	N	B	B	D	B	0.934	0.066
D	D	M	N	N	B	B	T	B	0.98	0.02
D	D	M	N	N	B	D	D	B	0.676	0.324
D	D	M	N	N	B	D	T	B	0.785	0.215
D	D	M	N	N	B	P	D	B	0.764	0.236
D	D	M	N	N	B	P	T	B	0.811	0.189
D	D	M	N	N	D	B	D	B	0.829	0.171
D	D	M	N	N	D	B	T	B	0.911	0.089
D	D	M	N	N	D	D	D	B	0.574	0.426
D	D	M	N	N	D	D	T	B	0.711	0.289
D	D	M	N	N	D	P	D	B	0.75	0.25
D	D	M	N	N	D	P	T	B	0.846	0.154
D	D	M	N	N	P	B	D	B	0.876	0.124
D	D	M	N	N	P	B	T	B	0.95	0.05
D	D	M	N	N	P	D	D	B	0.631	0.369
D	D	M	N	N	P	D	T	B	0.773	0.227
D	D	M	N	N	P	P	D	B	0.772	0.228
D	D	M	N	N	P	P	T	B	0.872	0.128
D	D	M	P	D	B	B	D	B	0.63	0.37
D	D	M	P	D	B	B	T	B	0.775	0.225
D	D	M	P	D	B	D	D	P	0.446	0.554
D	D	M	P	D	B	D	T	B	0.614	0.386
D	D	M	P	D	B	P	D	P	0.478	0.522
D	D	M	P	D	B	P	T	B	0.638	0.362
D	D	M	P	D	D	B	D	P	0.474	0.526
D	D	M	P	D	D	B	T	B	0.617	0.383
D	D	M	P	D	D	D	D	P	0.365	0.635
D	D	M	P	D	D	D	T	P	0.494	0.506
D	D	M	P	D	D	P	D	P	0.412	0.588
D	D	M	P	D	D	P	T	B	0.548	0.452
D	D	M	P	D	P	B	D	B	0.572	0.428
D	D	M	P	D	P	B	T	B	0.725	0.275
D	D	M	P	D	P	D	D	P	0.414	0.586
D	D	M	P	D	P	D	T	B	0.566	0.434
D	D	M	P	D	P	P	D	P	0.464	0.536
D	D	M	P	D	P	P	T	B	0.599	0.401
D	D	M	P	N	B	B	D	B	0.895	0.105
D	D	M	P	N	B	B	T	B	0.967	0.033
D	D	M	P	N	B	D	D	B	0.656	0.344
D	D	M	P	N	B	D	T	B	0.795	0.205
D	D	M	P	N	B	P	D	B	0.693	0.307
D	D	M	P	N	B	P	T	B	0.816	0.184
D	D	M	P	N	D	B	D	B	0.767	0.233
D	D	M	P	N	D	B	T	B	0.868	0.132
D	D	M	P	N	D	D	D	B	0.56	0.44
D	D	M	P	N	D	D	T	B	0.707	0.293
D	D	M	P	N	D	P	D	B	0.657	0.343
D	D	M	P	N	D	P	T	B	0.782	0.218
D	D	M	P	N	P	B	D	B	0.835	0.165
D	D	M	P	N	P	B	T	B	0.923	0.077
D	D	M	P	N	P	D	D	B	0.628	0.372
D	D	M	P	N	P	D	T	B	0.767	0.233
D	D	M	P	N	P	P	D	B	0.698	0.302
D	D	M	P	N	P	P	T	B	0.815	0.185
D	D	L	A	D	B	B	D	P	0.286	0.714
D	D	L	A	D	B	B	T	P	0.401	0.599
D	D	L	A	D	B	D	D	P	0.182	0.818
D	D	L	A	D	B	D	T	P	0.29	0.71
D	D	L	A	D	B	P	D	P	0.199	0.801
D	D	L	A	D	B	P	T	P	0.302	0.698
D	D	L	A	D	D	B	D	P	0.185	0.815
D	D	L	A	D	D	B	T	P	0.285	0.715
D	D	L	A	D	D	D	D	P	0.062	0.938
D	D	L	A	D	D	D	T	P	0.155	0.845
D	D	L	A	D	D	P	D	P	0.106	0.894
D	D	L	A	D	D	P	T	P	0.187	0.813
D	D	L	A	D	P	B	D	P	0.206	0.794
D	D	L	A	D	P	B	T	P	0.349	0.651
D	D	L	A	D	P	D	D	P	0.119	0.881
D	D	L	A	D	P	D	T	P	0.243	0.757
D	D	L	A	D	P	P	D	P	0.127	0.873
D	D	L	A	D	P	P	T	P	0.252	0.748
D	D	L	A	N	B	B	D	P	0.5	0.5
D	D	L	A	N	B	B	T	B	0.524	0.476
D	D	L	A	N	B	D	D	P	0.348	0.652
D	D	L	A	N	B	D	T	P	0.415	0.585
D	D	L	A	N	B	P	D	P	0.362	0.638
D	D	L	A	N	B	P	T	P	0.43	0.57
D	D	L	A	N	D	B	D	P	0.454	0.546
D	D	L	A	N	D	B	T	B	0.528	0.472
D	D	L	A	N	D	D	D	P	0.242	0.758
D	D	L	A	N	D	D	T	P	0.339	0.661
D	D	L	A	N	D	P	D	P	0.316	0.684
D	D	L	A	N	D	P	T	P	0.399	0.601
D	D	L	A	N	P	B	D	P	0.426	0.574
D	D	L	A	N	P	B	T	P	0.487	0.513
D	D	L	A	N	P	D	D	P	0.286	0.714
D	D	L	A	N	P	D	T	P	0.403	0.597
D	D	L	A	N	P	P	D	P	0.327	0.673
D	D	L	A	N	P	P	T	P	0.443	0.557
D	D	L	D	D	B	B	D	B	0.565	0.435
D	D	L	D	D	B	B	T	B	0.825	0.175
D	D	L	D	D	B	D	D	P	0.315	0.685
D	D	L	D	D	B	D	T	B	0.542	0.458
D	D	L	D	D	B	P	D	P	0.344	0.656
D	D	L	D	D	B	P	T	B	0.592	0.408
D	D	L	D	D	D	B	D	P	0.342	0.658
D	D	L	D	D	D	B	T	B	0.547	0.453
D	D	L	D	D	D	D	D	P	0.127	0.873
D	D	L	D	D	D	D	T	P	0.295	0.705
D	D	L	D	D	D	P	D	P	0.22	0.78
D	D	L	D	D	D	P	T	P	0.403	0.597
D	D	L	D	D	P	B	D	P	0.425	0.575
D	D	L	D	D	P	B	T	B	0.71	0.29
D	D	L	D	D	P	D	D	P	0.219	0.781
D	D	L	D	D	P	D	T	P	0.447	0.553
D	D	L	D	D	P	P	D	P	0.239	0.761
D	D	L	D	D	P	P	T	P	0.493	0.507
D	D	L	D	N	B	B	D	B	0.932	0.068
D	D	L	D	N	B	B	T	B	0.994	0.006
D	D	L	D	N	B	D	D	B	0.658	0.342
D	D	L	D	N	B	D	T	B	0.804	0.196
D	D	L	D	N	B	P	D	B	0.693	0.307
D	D	L	D	N	B	P	T	B	0.839	0.161
D	D	L	D	N	D	B	D	B	0.816	0.184
D	D	L	D	N	D	B	T	B	0.9	0.1
D	D	L	D	N	D	D	D	B	0.534	0.466
D	D	L	D	N	D	D	T	B	0.732	0.268
D	D	L	D	N	D	P	D	B	0.683	0.317
D	D	L	D	N	D	P	T	B	0.852	0.148
D	D	L	D	N	P	B	D	B	0.871	0.129
D	D	L	D	N	P	B	T	B	0.973	0.027
D	D	L	D	N	P	D	D	B	0.606	0.394
D	D	L	D	N	P	D	T	B	0.791	0.209
D	D	L	D	N	P	P	D	B	0.673	0.327
D	D	L	D	N	P	P	T	B	0.894	0.106
D	D	L	N	D	B	B	D	B	0.785	0.215
D	D	L	N	D	B	B	T	B	0.885	0.115
D	D	L	N	D	B	D	D	B	0.536	0.464
D	D	L	N	D	B	D	T	B	0.675	0.325
D	D	L	N	D	B	P	D	B	0.622	0.378
D	D	L	N	D	B	P	T	B	0.739	0.261
D	D	L	N	D	D	B	D	B	0.584	0.416
D	D	L	N	D	D	B	T	B	0.651	0.349
D	D	L	N	D	D	D	D	P	0.359	0.641
D	D	L	N	D	D	D	T	P	0.481	0.519
D	D	L	N	D	D	P	D	B	0.527	0.473
D	D	L	N	D	D	P	T	B	0.614	0.386
D	D	L	N	D	P	B	D	B	0.683	0.317
D	D	L	N	D	P	B	T	B	0.801	0.199
D	D	L	N	D	P	D	D	P	0.465	0.535
D	D	L	N	D	P	D	T	B	0.618	0.382
D	D	L	N	D	P	P	D	B	0.549	0.451
D	D	L	N	D	P	P	T	B	0.704	0.296
D	D	L	N	N	B	B	D	B	0.979	0.021
D	D	L	N	N	B	B	T	B	0.997	0.003
D	D	L	N	N	B	D	D	B	0.762	0.238
D	D	L	N	N	B	D	T	B	0.863	0.137
D	D	L	N	N	B	P	D	B	0.824	0.176
D	D	L	N	N	B	P	T	B	0.872	0.128
D	D	L	N	N	D	B	D	B	0.886	0.114
D	D	L	N	N	D	B	T	B	0.953	0.047
D	D	L	N	N	D	D	D	B	0.695	0.305
D	D	L	N	N	D	D	T	B	0.818	0.182
D	D	L	N	N	D	P	D	B	0.835	0.165
D	D	L	N	N	D	P	T	B	0.902	0.098
D	D	L	N	N	P	B	D	B	0.949	0.051
D	D	L	N	N	P	B	T	B	0.983	0.017
D	D	L	N	N	P	D	D	B	0.733	0.267
D	D	L	N	N	P	D	T	B	0.852	0.148
D	D	L	N	N	P	P	D	B	0.869	0.131
D	D	L	N	N	P	P	T	B	0.924	0.076
D	D	L	P	D	B	B	D	B	0.712	0.288
D	D	L	P	D	B	B	T	B	0.843	0.157
D	D	L	P	D	B	D	D	B	0.549	0.451
D	D	L	P	D	B	D	T	B	0.669	0.331
D	D	L	P	D	B	P	D	B	0.572	0.428
D	D	L	P	D	B	P	T	B	0.703	0.297
D	D	L	P	D	D	B	D	B	0.543	0.457
D	D	L	P	D	D	B	T	B	0.658	0.342
D	D	L	P	D	D	D	D	P	0.412	0.588
D	D	L	P	D	D	D	T	B	0.511	0.489
D	D	L	P	D	D	P	D	P	0.485	0.515
D	D	L	P	D	D	P	T	B	0.601	0.399
D	D	L	P	D	P	B	D	B	0.634	0.366
D	D	L	P	D	P	B	T	B	0.778	0.222
D	D	L	P	D	P	D	D	B	0.501	0.499
D	D	L	P	D	P	D	T	B	0.615	0.385
D	D	L	P	D	P	P	D	B	0.541	0.459
D	D	L	P	D	P	P	T	B	0.657	0.343
D	D	L	P	N	B	B	D	B	0.951	0.049
D	D	L	P	N	B	B	T	B	0.983	0.017
D	D	L	P	N	B	D	D	B	0.753	0.247
D	D	L	P	N	B	D	T	B	0.847	0.153
D	D	L	P	N	B	P	D	B	0.792	0.208
D	D	L	P	N	B	P	T	B	0.866	0.134
D	D	L	P	N	D	B	D	B	0.856	0.144
D	D	L	P	N	D	B	T	B	0.927	0.073
D	D	L	P	N	D	D	D	B	0.673	0.327
D	D	L	P	N	D	D	T	B	0.793	0.207
D	D	L	P	N	D	P	D	B	0.765	0.235
D	D	L	P	N	D	P	T	B	0.861	0.139
D	D	L	P	N	P	B	D	B	0.905	0.095
D	D	L	P	N	P	B	T	B	0.96	0.04
D	D	L	P	N	P	D	D	B	0.711	0.289
D	D	L	P	N	P	D	T	B	0.833	0.167
D	D	L	P	N	P	P	D	B	0.798	0.202
D	D	L	P	N	P	P	T	B	0.901	0.099
D	D	N	A	D	B	B	D	P	0.307	0.693
D	D	N	A	D	B	B	T	P	0.412	0.588
D	D	N	A	D	B	D	D	P	0.191	0.809
D	D	N	A	D	B	D	T	P	0.313	0.687
D	D	N	A	D	B	P	D	P	0.212	0.788
D	D	N	A	D	B	P	T	P	0.309	0.691
D	D	N	A	D	D	B	D	P	0.192	0.808
D	D	N	A	D	D	B	T	P	0.276	0.724
D	D	N	A	D	D	D	D	P	0.079	0.921
D	D	N	A	D	D	D	T	P	0.176	0.824
D	D	N	A	D	D	P	D	P	0.132	0.868
D	D	N	A	D	D	P	T	P	0.212	0.788
D	D	N	A	D	P	B	D	P	0.232	0.768
